ticker,name,exchange,sector
CG.TO,CENTERRA GOLD INC.,TSX,Gold Expl & Dev
AEM.TO,AGNICO EAGLE MINES LIMITED,TSX,Gld/Sil Expl & Dev
AG.TO,FIRST MAJESTIC SILVER CORP. J,TSX,Silver Mining & Expl
CPX.TO,CAPITAL POWER CORPORATION,TSX,Power Prod/Dev & Mkt
S.TO,SHERRITT INTERNATIONAL CORPORATION,TSX,Holding Company
MTY.TO,MTY FOOD GROUP INC.,TSX,Restaurants
IVN.TO,IVANHOE MINES LTD. CL 'A' J,TSX,Mineral Expl & Dev
FSZ.TO,FIERA CAPITAL CORPORATION CLASS 'A' SV,TSX,Investment Company
JOY.TO,JOURNEY ENERGY INC.,TSX,Oil/Gas Expl & Dev
DF.TO,DIVIDEND 15 SPLIT CORP. II CLASS 'A',TSX,Investment Company
EIT-UN.TO,CANOE EIT INCOME FUND UNITS,TSX,Investment Fund
SXP.TO,SUPREMEX INC.,TSX,Stationery Prod Mfg
TOY.TO,SPIN MASTER CORP. SV,TSX,Entertainment Prod
MPH.V,Medicure Inc.,TSX.V,Manufacturing
XAU.TO,GOLDMONEY INC.,TSX,Financial Serv & Tech
PX.V,Pelangio Exploration Inc.,TSX.V,Mining
ELEF.TO,Silver Elephant Mining Corp.,TSX,Coal Expl & Dev
IMP.TO,INTERMAP TECHNOLOGIES CORPORATION,TSX,Geographic Data Tech
TRAN.V,Clean Energy Transition Inc.,TSX.V,Mining
RET-A.V,Reitmans (Canada) Limited A NV,TSX.V,Merchandising
TKO.TO,Trekor Metals Limited,TSX,Metal Expl & Prod
DC-A.TO,DUNDEE CORPORATION CL 'A' SV,TSX,Management Co
MIR.V,MedMira Inc.,TSX.V,Technology
PLZ-UN.TO,PLAZA RETAIL REIT TRUST UNITS,TSX,Investment Trust
SVRS.V,Silver Storm Mining Ltd.,TSX.V,Mining
EKG.V,"CardioComm Solutions, Inc.",TSX.V,Medical & Health Care
BRM.V,Biorem Inc.,TSX.V,Manufacturing
QEC.TO,QUESTERRE ENERGY CORPORATION J,TSX,Oil/Gas Expl & Dev
MKP.TO,MCAN MORTGAGE CORPORATION,TSX,Mortgage Inv Co
GDC.TO,GENESIS LAND DEVELOPMENT CORP.,TSX,Real Estate
ALTA.V,Altamira Gold Corp.,TSX.V,Mining
ET.TO,EVERTZ TECHNOLOGIES LIMITED,TSX,Audio Equip Mfg/Mkt
BR.TO,BIG ROCK BREWERY INC.,TSX,Brewery
LUG.TO,LUNDIN GOLD INC. J,TSX,Mineral Expl & Dev
QZM.V,Quartz Mountain Resources Ltd,TSX.V,Mining
CDR.TO,Condor Energies Inc.,TSX,Oil/Gas Expl & Dev
CRT-UN.TO,CT REAL ESTATE INVESTMENT TRUST UNITS,TSX,Investment Fund
LOT.V,TomaGold Corporation,TSX.V,Mining
KXS.TO,KINAXIS INC. J,TSX,Software Dev/Mkt/Serv
VPI.V,Vitality Products Inc.,TSX.V,Manufacturing
NOA.TO,North American Construction Group Ltd.,TSX,Oil Field Service
GGD.TO,GOGOLD RESOURCES INC. J,TSX,Mineral Expl & Dev
EDV.TO,Endeavour Mining plc,TSX,Merchant Banking
EFR.TO,ENERGY FUELS INC. J,TSX,Uranium Expl & Dev
PIC-A.TO,PREMIUM INCOME CORPORATION CL 'A',TSX,Mutual Funds
RX.V,BioSyent Inc.,TSX.V,Manufacturing
CSW-A.TO,CORBY SPIRIT AND WINE LIMITED CL 'A',TSX,Distillery
CTF-UN.TO,CITADEL INCOME FUND TRANSFER UNITS,TSX,Investment Fund
TPX-B.TO,MOLSON COORS CANADA INC. CLASS 'B' EXCH NV,TSX,Brewery/Divers Mfg
DML.TO,DENISON MINES CORP.,TSX,Uranium Expl & Dev
VML.V,Viscount Mining Corp.,TSX.V,Mining
FDI.V,Findev Inc.,TSX.V,Real Estate
CKI.TO,CLARKE INC.,TSX,Transportation
